 11 TEFF'S       12 LOG G'S       6 FE.H'S        4 INDICES  (1 Sept 2005)
 3.460 3.000 2.495 2.090 1.737 1.476 1.268 1.105 0.977 0.875 0.789
 3.415 2.970 2.500 2.102 1.758 1.494 1.284 1.118 0.987 0.882 0.794
 3.413 2.960 2.520 2.129 1.785 1.519 1.306 1.137 1.004 0.896 0.805
 3.419 2.990 2.540 2.160 1.820 1.547 1.331 1.160 1.025 0.915 0.819
 [Fe/H] = -3.00: Color Index = BCv
-4.893-3.811-2.604-1.697-1.361-0.953-0.652-0.437-0.288-0.185-0.107
-4.593-3.579-2.412-1.569-1.230-0.872-0.608-0.420-0.289-0.196-0.121
-4.333-3.376-2.247-1.454-1.117-0.804-0.573-0.408-0.291-0.206-0.136
-4.093-3.185-2.118-1.363-1.022-0.750-0.547-0.400-0.294-0.216-0.152
-3.873-2.975-2.014-1.301-0.950-0.708-0.527-0.395-0.300-0.228-0.168
-3.673-2.756-1.963-1.266-0.897-0.676-0.511-0.392-0.305-0.240-0.183
-3.493-2.589-1.936-1.274-0.858-0.653-0.500-0.389-0.309-0.249-0.197
-3.343-2.459-1.888-1.282-0.826-0.635-0.492-0.388-0.312-0.255-0.208
-3.223-2.355-1.831-1.278-0.811-0.626-0.487-0.385-0.312-0.259-0.216
-3.113-2.298-1.777-1.266-0.807-0.620-0.481-0.381-0.310-0.259-0.220
-3.040-2.255-1.717-1.240-0.812-0.618-0.476-0.376-0.307-0.259-0.221
-3.004-2.238-1.672-1.203-0.812-0.617-0.474-0.372-0.302-0.254-0.219
 [Fe/H] = -2.00: Color Index = BCv
-4.923-3.841-2.682-1.786-1.288-0.919-0.639-0.432-0.284-0.178-0.099
-4.623-3.609-2.493-1.641-1.153-0.835-0.592-0.412-0.281-0.186-0.113
-4.363-3.406-2.324-1.520-1.063-0.772-0.554-0.395-0.281-0.196-0.127
-4.123-3.215-2.201-1.422-0.973-0.716-0.525-0.385-0.284-0.207-0.141
-3.903-3.005-2.094-1.349-0.923-0.684-0.506-0.377-0.285-0.216-0.156
-3.703-2.786-2.036-1.310-0.891-0.661-0.493-0.373-0.288-0.224-0.169
-3.523-2.619-1.966-1.304-0.882-0.653-0.487-0.371-0.290-0.231-0.180
-3.373-2.489-1.918-1.312-0.873-0.648-0.484-0.369-0.290-0.234-0.189
-3.253-2.385-1.861-1.308-0.857-0.643-0.484-0.369-0.289-0.234-0.195
-3.143-2.328-1.807-1.296-0.843-0.640-0.484-0.368-0.286-0.231-0.197
-3.070-2.285-1.747-1.270-0.838-0.639-0.484-0.367-0.283-0.227-0.195
-3.034-2.268-1.702-1.233-0.842-0.642-0.485-0.366-0.281-0.224-0.192
 [Fe/H] = -1.00: Color Index = BCv
-4.983-3.891-2.461-1.675-1.183-0.833-0.581-0.402-0.271-0.163-0.054
-4.683-3.659-2.330-1.557-1.083-0.769-0.542-0.381-0.265-0.174-0.086
-4.423-3.456-2.210-1.457-1.008-0.722-0.514-0.366-0.261-0.180-0.107
-4.183-3.265-2.115-1.384-0.953-0.690-0.497-0.358-0.259-0.184-0.117
-3.963-3.055-2.054-1.329-0.928-0.675-0.489-0.355-0.260-0.189-0.128
-3.763-2.836-2.023-1.306-0.920-0.670-0.487-0.356-0.263-0.195-0.138
-3.583-2.669-2.006-1.334-0.925-0.676-0.492-0.360-0.266-0.199-0.145
-3.433-2.539-1.958-1.342-0.936-0.683-0.496-0.362-0.268-0.202-0.151
-3.313-2.435-1.901-1.338-0.938-0.690-0.503-0.367-0.270-0.203-0.155
-3.203-2.378-1.847-1.326-0.918-0.691-0.511-0.373-0.271-0.200-0.156
-3.130-2.335-1.787-1.300-0.893-0.691-0.520-0.380-0.272-0.197-0.155
-3.094-2.318-1.742-1.263-0.881-0.690-0.523-0.384-0.274-0.196-0.153
 [Fe/H] = -0.50: Color Index = BCv
-5.083-3.905-2.450-1.394-1.018-0.767-0.561-0.392-0.253-0.138-0.039
-4.783-3.739-2.353-1.357-0.982-0.726-0.526-0.371-0.250-0.153-0.070
-4.523-3.536-2.279-1.331-0.959-0.699-0.503-0.357-0.248-0.163-0.090
-4.283-3.345-2.215-1.317-0.949-0.687-0.492-0.350-0.247-0.168-0.099
-4.063-3.135-2.151-1.316-0.939-0.683-0.491-0.351-0.249-0.172-0.107
-3.863-2.916-2.114-1.346-0.944-0.687-0.494-0.353-0.252-0.177-0.115
-3.683-2.749-2.066-1.374-0.952-0.693-0.499-0.357-0.255-0.181-0.122
-3.533-2.619-2.018-1.382-0.965-0.703-0.506-0.362-0.258-0.184-0.127
-3.413-2.515-1.961-1.378-0.977-0.715-0.516-0.368-0.262-0.186-0.131
-3.303-2.458-1.907-1.366-0.968-0.723-0.528-0.377-0.265-0.186-0.134
-3.230-2.415-1.847-1.340-0.938-0.724-0.541-0.389-0.270-0.185-0.135
-3.194-2.398-1.802-1.303-0.917-0.723-0.548-0.397-0.275-0.186-0.134
 [Fe/H] =  0.00: Color Index = BCv
-6.590-4.708-2.668-1.503-1.013-0.737-0.530-0.373-0.249-0.140-0.029
-6.028-4.344-2.565-1.466-1.000-0.729-0.522-0.365-0.244-0.147-0.059
-5.546-4.024-2.468-1.440-0.986-0.720-0.515-0.359-0.242-0.152-0.077
-5.095-3.698-2.386-1.425-0.973-0.711-0.509-0.357-0.243-0.156-0.083
